Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
147.05	1.000	0.766	0.608	0.750	0.748	0.703	0.557	0.632	0.452	0.339	0.303	0.746	C
147.06	1.000	0.836	0.721	0.800	0.771	0.748	0.610	0.687	0.476	0.349	0.329	0.816	C
147.07	1.000	0.771	0.707	0.812	0.806	0.778	0.627	0.733	0.505	0.358	0.337	0.815	C
147.08	1.000	0.777	0.750	0.832	0.815	0.816	0.644	0.734	0.517	0.380	0.340	0.885	C
147.09	1.000	0.812	0.776	0.847	0.825	0.836	0.658	0.786	0.533	0.380	0.339	0.929	C
148.00	0.392	0.675	0.604	0.595	1.000	0.690	0.391	0.342	0.299	0.416	0.305	0.362	E
148.01	0.415	0.753	0.670	0.664	1.000	0.776	0.437	0.377	0.339	0.458	0.323	0.420	E
148.02	0.470	0.810	0.735	0.738	1.000	0.864	0.490	0.408	0.376	0.515	0.352	0.481	E
148.03	0.479	0.810	0.749	0.804	1.000	0.917	0.526	0.429	0.432	0.517	0.360	0.516	E
148.04	0.470	0.792	0.750	0.804	1.000	0.914	0.517	0.431	0.472	0.513	0.351	0.498	E
148.05	0.464	0.775	0.728	0.813	1.000	0.880	0.479	0.414	0.467	0.483	0.337	0.470	E
148.06	0.438	0.734	0.710	0.761	1.000	0.831	0.474	0.411	0.482	0.460	0.334	0.505	E
148.07	0.416	0.683	0.657	0.722	1.000	0.764	0.446	0.394	0.456	0.426	0.305	0.517	E
148.09	0.414	0.641	0.598	0.679	1.000	0.672	0.399	0.365	0.406	0.378	0.280	0.452	E
148.10	0.364	0.605	0.550	0.606	1.000	0.601	0.374	0.342	0.388	0.343	0.259	0.390	E
149.00	0.290	0.486	0.497	0.411	1.000	0.520	0.331	0.430	0.330	0.246	0.294	0.241	E
149.01	0.339	0.537	0.534	0.448	1.000	0.553	0.367	0.491	0.371	0.274	0.311	0.265	E
149.02	0.388	0.571	0.561	0.461	1.000	0.581	0.397	0.551	0.384	0.300	0.341	0.256	E
149.03	0.442	0.613	0.574	0.481	1.000	0.611	0.432	0.620	0.410	0.315	0.363	0.272	E
149.05	0.510	0.729	0.627	0.527	1.000	0.648	0.485	0.738	0.457	0.343	0.380	0.277	E
149.06	0.549	0.829	0.685	0.608	1.000	0.694	0.552	0.849	0.528	0.383	0.419	0.310	E
149.07	0.539	0.898	0.752	0.671	1.000	0.741	0.612	0.943	0.585	0.412	0.447	0.322	E
149.08	0.479	0.843	0.770	0.696	0.886	0.672	0.620	1.000	0.587	0.398	0.429	0.332	G
149.09	0.450	0.788	0.717	0.712	0.777	0.625	0.606	1.000	0.563	0.392	0.458	0.309	G
149.10	0.464	0.735	0.671	0.673	0.709	0.630	0.611	1.000	0.609	0.362	0.389	0.350	G
150.01	1.000	0.976	0.966	0.845	0.611	0.734	0.705	0.685	0.529	0.545	0.532	0.320	C
150.02	1.000	0.897	0.910	0.794	0.604	0.665	0.643	0.727	0.525	0.501	0.526	0.316	C
150.03	1.000	0.857	0.827	0.803	0.584	0.634	0.607	0.686	0.556	0.485	0.465	0.314	C
150.04	1.000	0.799	0.790	0.820	0.597	0.629	0.584	0.676	0.624	0.486	0.471	0.288	C
150.05	1.000	0.759	0.737	0.730	0.600	0.595	0.556	0.641	0.576	0.468	0.467	0.258	C
150.06	1.000	0.712	0.660	0.732	0.572	0.548	0.531	0.632	0.563	0.433	0.402	0.252	C
150.07	1.000	0.691	0.667	0.703	0.575	0.543	0.520	0.621	0.559	0.422	0.393	0.231	C
150.08	1.000	0.620	0.629	0.712	0.502	0.499	0.479	0.586	0.510	0.397	0.376	0.236	C
150.09	1.000	0.599	0.607	0.633	0.494	0.482	0.476	0.567	0.559	0.410	0.371	0.191	C
151.01	0.520	0.862	0.824	0.688	0.510	0.659	0.666	0.686	0.438	0.347	0.473	1.000	B
151.02	0.463	0.842	0.745	0.655	0.490	0.639	0.686	0.657	0.416	0.338	0.424	1.000	B
151.03	0.395	0.761	0.613	0.609	0.467	0.594	0.658	0.578	0.369	0.314	0.435	1.000	B
151.04	0.362	0.719	0.561	0.586	0.436	0.576	0.640	0.551	0.355	0.308	0.424	1.000	B
151.05	0.325	0.683	0.523	0.519	0.382	0.541	0.592	0.517	0.318	0.277	0.403	1.000	B
151.06	0.298	0.617	0.514	0.487	0.359	0.494	0.570	0.525	0.295	0.264	0.383	1.000	B
151.07	0.275	0.474	0.526	0.457	0.308	0.457	0.519	0.526	0.258	0.235	0.295	1.000	B
151.08	0.257	0.410	0.540	0.424	0.289	0.422	0.496	0.541	0.231	0.216	0.287	1.000	B
151.09	0.250	0.385	0.484	0.394	0.261	0.394	0.465	0.497	0.219	0.203	0.270	1.000	B
152.00	0.244	0.357	0.420	0.416	1.000	0.418	0.306	0.208	0.216	0.209	0.211	0.339	E
152.01	0.231	0.343	0.394	0.380	1.000	0.404	0.291	0.199	0.193	0.196	0.203	0.335	E
152.02	0.218	0.325	0.365	0.352	1.000	0.379	0.282	0.194	0.194	0.182	0.188	0.324	E
152.03	0.190	0.287	0.316	0.312	1.000	0.343	0.249	0.176	0.182	0.157	0.165	0.323	E
152.04	0.157	0.271	0.288	0.284	1.000	0.312	0.234	0.167	0.192	0.147	0.149	0.328	E
152.05	0.144	0.257	0.270	0.274	1.000	0.291	0.224	0.158	0.185	0.137	0.140	0.326	E
152.06	0.141	0.240	0.246	0.261	1.000	0.271	0.218	0.159	0.182	0.124	0.126	0.312	E
152.07	0.142	0.234	0.233	0.255	1.000	0.253	0.214	0.169	0.179	0.121	0.132	0.286	E
152.09	0.127	0.223	0.224	0.244	1.000	0.243	0.208	0.164	0.168	0.115	0.124	0.237	E
152.10	0.123	0.209	0.207	0.221	1.000	0.228	0.199	0.159	0.178	0.105	0.115	0.224	E
153.00	0.480	0.754	0.680	0.606	0.483	0.720	0.604	1.000	0.659	0.367	0.324	0.469	G
153.01	0.525	0.658	0.689	0.579	0.425	0.689	0.607	1.000	0.661	0.371	0.332	0.471	G
153.02	0.501	0.640	0.675	0.563	0.389	0.694	0.665	1.000	0.663	0.389	0.354	0.467	G
153.03	0.484	0.696	0.678	0.562	0.366	0.645	0.670	1.000	0.670	0.388	0.356	0.531	G
153.05	0.502	0.747	0.674	0.577	0.371	0.575	0.669	1.000	0.698	0.408	0.379	0.523	G
153.06	0.526	0.736	0.609	0.577	0.387	0.572	0.700	1.000	0.715	0.428	0.428	0.523	G
153.07	0.527	0.816	0.625	0.583	0.413	0.597	0.833	1.000	0.747	0.472	0.458	0.525	G
153.08	0.563	0.828	0.630	0.619	0.434	0.558	0.861	1.000	0.767	0.565	0.461	0.472	G
153.09	0.620	0.975	0.686	0.676	0.494	0.675	0.942	1.000	0.815	0.584	0.474	0.531	G
153.10	0.542	0.888	0.626	0.694	0.493	0.631	1.000	0.933	0.791	0.560	0.456	0.519	F#
154.01	1.000	0.687	0.463	0.296	0.327	0.382	0.472	0.410	0.261	0.176	0.239	0.355	C
154.02	1.000	0.625	0.438	0.273	0.276	0.337	0.451	0.386	0.231	0.157	0.199	0.330	C
154.03	1.000	0.594	0.388	0.238	0.271	0.314	0.415	0.372	0.211	0.141	0.216	0.282	C
154.04	1.000	0.541	0.361	0.210	0.273	0.293	0.373	0.335	0.191	0.145	0.192	0.266	C
154.05	1.000	0.538	0.352	0.200	0.250	0.273	0.366	0.341	0.178	0.144	0.189	0.249	C
154.06	1.000	0.495	0.309	0.190	0.242	0.258	0.383	0.324	0.165	0.125	0.184	0.245	C
154.07	1.000	0.443	0.302	0.189	0.221	0.248	0.373	0.317	0.154	0.128	0.167	0.224	C
154.08	1.000	0.423	0.274	0.167	0.211	0.225	0.365	0.306	0.146	0.119	0.190	0.209	C
154.09	1.000	0.405	0.281	0.166	0.187	0.202	0.357	0.304	0.132	0.098	0.165	0.202	C
155.01	0.309	0.399	0.442	0.594	0.202	0.362	0.461	0.342	0.294	0.277	0.272	1.000	B
155.02	0.291	0.348	0.372	0.531	0.189	0.332	0.451	0.324	0.263	0.291	0.249	1.000	B
155.03	0.268	0.334	0.345	0.522	0.176	0.306	0.428	0.292	0.237	0.263	0.229	1.000	B
155.04	0.247	0.305	0.315	0.515	0.157	0.276	0.417	0.268	0.215	0.259	0.218	1.000	B
155.05	0.233	0.269	0.306	0.505	0.138	0.256	0.387	0.247	0.204	0.236	0.214	1.000	B
155.06	0.216	0.273	0.289	0.447	0.118	0.241	0.366	0.229	0.189	0.194	0.222	1.000	B
155.07	0.211	0.249	0.324	0.376	0.114	0.237	0.341	0.214	0.193	0.183	0.238	1.000	B
155.08	0.200	0.233	0.316	0.348	0.119	0.238	0.331	0.212	0.200	0.184	0.263	1.000	B
155.09	0.192	0.242	0.280	0.313	0.114	0.224	0.336	0.204	0.184	0.176	0.254	1.000	B
156.00	0.334	0.340	0.633	0.434	0.323	0.331	0.530	1.000	0.316	0.336	0.237	0.373	G
156.01	0.312	0.318	0.632	0.413	0.313	0.317	0.520	1.000	0.299	0.316	0.236	0.358	G
156.02	0.294	0.330	0.606	0.399	0.290	0.317	0.511	1.000	0.281	0.311	0.221	0.338	G
156.03	0.288	0.313	0.588	0.385	0.264	0.308	0.499	1.000	0.275	0.286	0.213	0.325	G
156.04	0.288	0.300	0.568	0.366	0.242	0.292	0.478	1.000	0.269	0.264	0.197	0.316	G
156.05	0.257	0.277	0.544	0.335	0.237	0.273	0.465	1.000	0.268	0.250	0.192	0.306	G
156.06	0.250	0.264	0.513	0.307	0.228	0.259	0.462	1.000	0.265	0.224	0.187	0.285	G
156.07	0.231	0.250	0.511	0.292	0.213	0.257	0.474	1.000	0.275	0.211	0.179	0.280	G
156.09	0.211	0.244	0.505	0.286	0.221	0.254	0.486	1.000	0.302	0.203	0.187	0.261	G
156.10	0.222	0.238	0.497	0.280	0.222	0.247	0.499	1.000	0.337	0.212	0.171	0.231	G
157.00	0.329	0.546	0.925	0.458	0.380	0.521	0.516	1.000	0.567	0.324	0.248	0.379	G
157.01	0.318	0.521	0.929	0.439	0.341	0.495	0.502	1.000	0.560	0.333	0.239	0.366	G
157.02	0.305	0.501	0.947	0.428	0.325	0.477	0.490	1.000	0.541	0.342	0.235	0.352	G
157.03	0.297	0.485	0.991	0.427	0.311	0.474	0.478	1.000	0.529	0.349	0.238	0.339	G
157.05	0.283	0.455	1.000	0.410	0.293	0.462	0.451	0.972	0.500	0.347	0.235	0.310	D
157.06	0.280	0.434	1.000	0.403	0.284	0.454	0.431	0.959	0.482	0.349	0.232	0.289	D
157.07	0.288	0.424	1.000	0.397	0.284	0.457	0.423	0.972	0.490	0.368	0.229	0.279	D
157.08	0.289	0.416	1.000	0.394	0.287	0.457	0.431	0.988	0.508	0.369	0.234	0.269	D
157.09	0.277	0.399	0.982	0.384	0.300	0.451	0.437	1.000	0.534	0.368	0.240	0.272	G
157.10	0.281	0.395	0.936	0.359	0.308	0.443	0.437	1.000	0.557	0.377	0.234	0.290	G
158.01	0.257	0.429	0.401	0.430	1.000	0.360	0.346	0.232	0.416	0.935	0.312	0.189	E
158.02	0.251	0.424	0.372	0.387	1.000	0.346	0.335	0.226	0.392	0.913	0.313	0.177	E
158.03	0.231	0.382	0.344	0.365	1.000	0.315	0.318	0.212	0.375	0.888	0.281	0.183	E
158.04	0.229	0.377	0.329	0.355	1.000	0.312	0.310	0.224	0.367	0.875	0.274	0.178	E
158.05	0.231	0.351	0.302	0.354	1.000	0.297	0.292	0.209	0.367	0.841	0.268	0.166	E
158.06	0.213	0.359	0.307	0.347	1.000	0.300	0.292	0.222	0.371	0.867	0.276	0.159	E
158.07	0.228	0.357	0.305	0.336	1.000	0.305	0.294	0.223	0.394	0.892	0.293	0.159	E
158.08	0.209	0.373	0.291	0.348	1.000	0.303	0.298	0.238	0.406	0.880	0.313	0.164	E
158.09	0.217	0.346	0.292	0.364	1.000	0.298	0.299	0.232	0.432	0.884	0.331	0.168	E
159.01	0.271	0.457	0.340	0.425	0.844	0.446	0.410	0.450	0.505	1.000	0.359	0.265	A
159.02	0.246	0.471	0.323	0.380	0.829	0.436	0.405	0.445	0.477	1.000	0.352	0.249	A
159.03	0.247	0.435	0.304	0.344	0.801	0.419	0.396	0.430	0.445	1.000	0.337	0.242	A
159.04	0.230	0.454	0.279	0.332	0.768	0.403	0.393	0.407	0.410	1.000	0.344	0.227	A
159.05	0.218	0.399	0.252	0.283	0.750	0.396	0.377	0.392	0.386	1.000	0.334	0.225	A
159.06	0.214	0.357	0.228	0.271	0.733	0.391	0.363	0.370	0.363	1.000	0.337	0.228	A
159.07	0.182	0.346	0.242	0.277	0.718	0.377	0.354	0.364	0.368	1.000	0.341	0.237	A
159.08	0.187	0.320	0.214	0.278	0.740	0.360	0.346	0.363	0.367	1.000	0.356	0.234	A
159.09	0.167	0.325	0.227	0.297	0.736	0.358	0.342	0.348	0.387	1.000	0.371	0.227	A
160.00	0.281	0.369	0.448	0.618	1.000	0.430	0.434	0.293	0.271	0.450	0.335	0.311	E
160.01	0.244	0.337	0.428	0.567	1.000	0.420	0.403	0.265	0.252	0.426	0.318	0.289	E
160.02	0.212	0.312	0.404	0.514	1.000	0.408	0.376	0.247	0.234	0.383	0.301	0.274	E
160.03	0.189	0.288	0.390	0.474	1.000	0.396	0.359	0.229	0.217	0.357	0.283	0.258	E
160.04	0.176	0.272	0.376	0.438	1.000	0.392	0.341	0.220	0.204	0.339	0.276	0.253	E
160.05	0.163	0.264	0.358	0.403	1.000	0.390	0.328	0.207	0.184	0.312	0.255	0.252	E
160.06	0.142	0.246	0.342	0.380	1.000	0.384	0.315	0.201	0.167	0.292	0.255	0.256	E
160.07	0.135	0.234	0.325	0.356	1.000	0.373	0.301	0.187	0.154	0.266	0.227	0.254	E
160.09	0.127	0.216	0.301	0.321	1.000	0.363	0.290	0.178	0.136	0.243	0.220	0.251	E
160.10	0.119	0.204	0.281	0.292	1.000	0.358	0.279	0.165	0.129	0.224	0.211	0.241	E
161.00	0.081	0.063	0.078	0.104	1.000	0.308	0.220	0.230	0.111	0.066	0.065	0.113	E
161.01	0.083	0.065	0.087	0.108	1.000	0.307	0.223	0.243	0.116	0.068	0.065	0.112	E
161.02	0.082	0.066	0.101	0.112	1.000	0.302	0.224	0.257	0.119	0.070	0.064	0.112	E
161.03	0.078	0.068	0.113	0.113	1.000	0.292	0.223	0.270	0.124	0.071	0.063	0.110	E
161.05	0.072	0.069	0.126	0.113	1.000	0.278	0.219	0.282	0.127	0.072	0.060	0.109	E
161.06	0.064	0.070	0.140	0.109	1.000	0.266	0.215	0.294	0.131	0.075	0.059	0.108	E
161.07	0.056	0.071	0.153	0.107	1.000	0.257	0.210	0.304	0.139	0.077	0.059	0.111	E
161.08	0.050	0.070	0.161	0.105	1.000	0.246	0.202	0.313	0.147	0.082	0.059	0.118	E
161.09	0.045	0.066	0.163	0.101	1.000	0.235	0.193	0.319	0.154	0.086	0.062	0.125	E
161.10	0.044	0.062	0.162	0.095	1.000	0.225	0.182	0.323	0.161	0.089	0.063	0.128	E
162.01	0.289	0.204	0.228	0.208	1.000	0.070	0.051	0.063	0.097	0.062	0.066	0.232	E
162.02	0.322	0.220	0.219	0.204	1.000	0.080	0.052	0.065	0.101	0.070	0.071	0.229	E
162.03	0.356	0.239	0.212	0.204	1.000	0.089	0.052	0.066	0.103	0.077	0.076	0.225	E
162.04	0.392	0.260	0.208	0.204	1.000	0.095	0.053	0.068	0.103	0.083	0.085	0.222	E
162.05	0.431	0.284	0.203	0.201	1.000	0.100	0.057	0.071	0.100	0.086	0.091	0.236	E
162.06	0.474	0.312	0.200	0.202	1.000	0.107	0.060	0.072	0.098	0.086	0.097	0.264	E
162.07	0.530	0.338	0.203	0.202	1.000	0.117	0.063	0.076	0.101	0.087	0.103	0.290	E
162.08	0.599	0.361	0.207	0.206	1.000	0.129	0.065	0.080	0.107	0.088	0.109	0.317	E
162.09	0.677	0.380	0.211	0.211	1.000	0.136	0.065	0.085	0.111	0.085	0.113	0.337	E
163.01	0.727	0.188	0.148	0.164	1.000	0.078	0.056	0.077	0.153	0.122	0.186	0.698	E
163.02	0.710	0.195	0.161	0.164	1.000	0.080	0.055	0.079	0.153	0.125	0.191	0.723	E
163.03	0.689	0.201	0.174	0.165	1.000	0.084	0.055	0.079	0.150	0.128	0.192	0.756	E
163.04	0.668	0.207	0.186	0.171	1.000	0.089	0.055	0.077	0.145	0.129	0.190	0.805	E
163.05	0.644	0.208	0.193	0.184	1.000	0.093	0.054	0.073	0.139	0.130	0.187	0.856	E
163.06	0.617	0.206	0.197	0.197	1.000	0.095	0.055	0.068	0.136	0.128	0.192	0.908	E
163.07	0.589	0.201	0.195	0.210	1.000	0.098	0.056	0.066	0.135	0.127	0.193	0.962	E
163.08	0.547	0.194	0.183	0.223	0.981	0.097	0.060	0.063	0.131	0.124	0.188	1.000	B
163.09	0.482	0.177	0.159	0.231	0.919	0.089	0.062	0.057	0.121	0.113	0.174	1.000	B
164.00	0.037	0.057	0.075	0.120	1.000	0.196	0.114	0.067	0.087	0.046	0.058	0.217	E
164.01	0.040	0.057	0.078	0.125	1.000	0.213	0.117	0.070	0.086	0.046	0.063	0.206	E
164.02	0.042	0.055	0.081	0.129	1.000	0.226	0.121	0.071	0.083	0.049	0.066	0.192	E
164.03	0.045	0.054	0.082	0.131	1.000	0.232	0.123	0.071	0.077	0.050	0.066	0.175	E
164.04	0.046	0.053	0.079	0.130	1.000	0.233	0.121	0.069	0.069	0.050	0.065	0.155	E
164.05	0.049	0.057	0.078	0.135	1.000	0.240	0.121	0.070	0.062	0.054	0.063	0.138	E
164.06	0.050	0.061	0.076	0.126	1.000	0.241	0.118	0.066	0.058	0.055	0.059	0.126	E
164.07	0.053	0.064	0.076	0.120	1.000	0.244	0.114	0.063	0.057	0.055	0.055	0.118	E
164.09	0.054	0.063	0.074	0.113	1.000	0.244	0.112	0.062	0.058	0.054	0.054	0.112	E
164.10	0.054	0.057	0.071	0.105	1.000	0.245	0.111	0.063	0.059	0.049	0.057	0.114	E
165.00	0.036	0.044	0.069	0.132	1.000	0.164	0.087	0.064	0.045	0.045	0.032	0.133	E
165.01	0.036	0.046	0.070	0.133	1.000	0.172	0.102	0.072	0.049	0.048	0.035	0.135	E
165.02	0.036	0.049	0.074	0.135	1.000	0.185	0.118	0.083	0.053	0.051	0.036	0.142	E
165.03	0.037	0.053	0.076	0.139	1.000	0.201	0.135	0.095	0.057	0.053	0.040	0.147	E
165.05	0.040	0.059	0.081	0.145	1.000	0.219	0.154	0.109	0.063	0.055	0.043	0.154	E
165.06	0.044	0.064	0.086	0.152	1.000	0.241	0.175	0.127	0.067	0.058	0.046	0.163	E
165.07	0.050	0.069	0.096	0.164	1.000	0.268	0.199	0.148	0.073	0.063	0.050	0.174	E
165.08	0.059	0.077	0.104	0.176	1.000	0.300	0.227	0.174	0.080	0.069	0.052	0.185	E
165.09	0.073	0.086	0.110	0.191	1.000	0.334	0.257	0.203	0.090	0.076	0.059	0.197	E
165.10	0.087	0.097	0.116	0.207	1.000	0.367	0.290	0.237	0.101	0.087	0.066	0.204	E
166.01	0.229	0.337	0.566	0.312	1.000	0.074	0.082	0.059	0.082	0.080	0.105	0.583	E
166.02	0.242	0.334	0.529	0.297	1.000	0.070	0.080	0.057	0.083	0.084	0.107	0.587	E
166.03	0.259	0.325	0.487	0.279	1.000	0.065	0.079	0.057	0.085	0.087	0.110	0.594	E
166.04	0.269	0.318	0.446	0.270	1.000	0.058	0.081	0.052	0.086	0.087	0.117	0.604	E
166.05	0.296	0.331	0.420	0.259	1.000	0.054	0.084	0.053	0.082	0.089	0.124	0.620	E
166.06	0.332	0.341	0.392	0.251	1.000	0.052	0.091	0.054	0.082	0.092	0.131	0.633	E
166.07	0.372	0.364	0.376	0.239	1.000	0.052	0.096	0.056	0.084	0.097	0.137	0.643	E
166.08	0.424	0.382	0.369	0.235	1.000	0.061	0.102	0.056	0.087	0.105	0.147	0.660	E
166.09	0.486	0.392	0.363	0.229	1.000	0.072	0.106	0.059	0.089	0.111	0.157	0.672	E
167.01	1.000	0.283	0.101	0.087	0.351	0.043	0.085	0.053	0.067	0.080	0.164	0.639	C
167.02	1.000	0.319	0.116	0.092	0.355	0.048	0.083	0.054	0.068	0.087	0.184	0.677	C
167.03	1.000	0.330	0.103	0.090	0.344	0.052	0.090	0.058	0.063	0.095	0.207	0.719	C
167.04	1.000	0.347	0.122	0.090	0.358	0.053	0.095	0.062	0.078	0.110	0.224	0.771	C
167.05	1.000	0.359	0.124	0.105	0.363	0.058	0.098	0.062	0.077	0.118	0.250	0.822	C
167.06	1.000	0.402	0.130	0.105	0.367	0.064	0.101	0.068	0.085	0.129	0.280	0.879	C
167.07	1.000	0.438	0.160	0.113	0.383	0.065	0.109	0.073	0.097	0.142	0.310	0.950	C
167.08	0.963	0.438	0.153	0.113	0.381	0.075	0.115	0.070	0.100	0.158	0.337	1.000	B
167.09	0.897	0.421	0.151	0.111	0.357	0.075	0.116	0.077	0.090	0.155	0.335	1.000	B
168.00	0.376	1.000	0.372	0.321	0.627	0.499	0.479	0.409	0.326	0.270	0.241	0.954	C#
168.01	0.411	1.000	0.386	0.324	0.636	0.537	0.496	0.423	0.353	0.285	0.250	0.928	C#
168.02	0.471	1.000	0.405	0.341	0.640	0.570	0.520	0.452	0.380	0.299	0.252	0.913	C#
168.03	0.482	1.000	0.432	0.386	0.638	0.564	0.527	0.469	0.398	0.298	0.252	0.871	C#
168.04	0.494	1.000	0.438	0.384	0.606	0.546	0.519	0.478	0.381	0.286	0.252	0.809	C#
168.05	0.539	1.000	0.462	0.398	0.607	0.569	0.529	0.495	0.396	0.294	0.262	0.787	C#
168.06	0.608	1.000	0.491	0.439	0.620	0.615	0.563	0.526	0.422	0.310	0.281	0.799	C#
168.07	0.674	1.000	0.526	0.484	0.635	0.643	0.589	0.562	0.432	0.316	0.307	0.787	C#
168.09	0.728	1.000	0.566	0.524	0.678	0.677	0.614	0.602	0.449	0.325	0.333	0.754	C#
168.10	0.815	1.000	0.616	0.585	0.755	0.743	0.663	0.668	0.474	0.351	0.366	0.717	C#
169.00	0.303	0.240	0.267	0.369	1.000	0.569	0.409	0.375	0.264	0.165	0.254	0.511	E
169.01	0.320	0.255	0.287	0.379	1.000	0.588	0.424	0.407	0.276	0.172	0.265	0.523	E
169.02	0.346	0.274	0.311	0.395	1.000	0.613	0.445	0.444	0.290	0.180	0.278	0.543	E
169.03	0.376	0.296	0.338	0.414	1.000	0.641	0.471	0.485	0.304	0.189	0.293	0.567	E
169.05	0.407	0.320	0.369	0.437	1.000	0.674	0.502	0.533	0.319	0.199	0.309	0.595	E
169.06	0.442	0.346	0.401	0.462	1.000	0.709	0.539	0.584	0.332	0.208	0.325	0.624	E
169.07	0.477	0.373	0.433	0.492	1.000	0.746	0.580	0.641	0.345	0.218	0.341	0.653	E
169.08	0.510	0.398	0.466	0.522	1.000	0.781	0.623	0.698	0.354	0.228	0.358	0.678	E
169.09	0.540	0.418	0.498	0.551	1.000	0.816	0.667	0.756	0.361	0.237	0.377	0.699	E
169.10	0.568	0.434	0.528	0.576	1.000	0.848	0.711	0.815	0.367	0.245	0.394	0.718	E
170.01	0.479	0.618	1.000	0.757	0.689	0.530	0.787	0.545	0.387	0.321	0.288	0.634	D
170.02	0.521	0.652	1.000	0.793	0.733	0.548	0.788	0.575	0.397	0.332	0.319	0.688	D
170.03	0.554	0.681	1.000	0.826	0.768	0.558	0.779	0.601	0.401	0.340	0.347	0.732	D
170.04	0.580	0.703	1.000	0.851	0.793	0.562	0.764	0.619	0.401	0.347	0.370	0.765	D
170.05	0.601	0.725	1.000	0.873	0.812	0.562	0.745	0.635	0.403	0.353	0.389	0.791	D
170.06	0.626	0.743	1.000	0.890	0.827	0.561	0.726	0.649	0.404	0.359	0.404	0.810	D
170.07	0.673	0.763	1.000	0.903	0.839	0.559	0.709	0.663	0.405	0.365	0.418	0.827	D
170.08	0.730	0.786	1.000	0.916	0.848	0.558	0.694	0.677	0.408	0.370	0.430	0.843	D
170.09	0.797	0.811	1.000	0.929	0.858	0.557	0.683	0.691	0.413	0.376	0.442	0.859	D
171.01	1.000	0.427	0.288	0.299	0.269	0.243	0.196	0.350	0.269	0.178	0.234	0.230	C
171.02	1.000	0.462	0.318	0.325	0.288	0.262	0.210	0.372	0.292	0.192	0.260	0.249	C
171.03	1.000	0.496	0.348	0.350	0.309	0.281	0.226	0.393	0.314	0.204	0.287	0.269	C
171.04	1.000	0.530	0.379	0.377	0.330	0.301	0.243	0.415	0.337	0.216	0.313	0.290	C
171.05	1.000	0.561	0.408	0.405	0.351	0.320	0.261	0.437	0.360	0.225	0.339	0.310	C
171.06	1.000	0.589	0.435	0.435	0.372	0.340	0.280	0.459	0.382	0.234	0.364	0.333	C
171.07	1.000	0.613	0.459	0.465	0.393	0.359	0.303	0.481	0.402	0.241	0.388	0.359	C
171.08	1.000	0.635	0.480	0.496	0.413	0.380	0.328	0.503	0.422	0.247	0.410	0.388	C
171.09	1.000	0.655	0.499	0.525	0.433	0.400	0.355	0.526	0.441	0.252	0.430	0.423	C
172.00	0.907	0.734	0.638	1.000	0.879	0.412	0.552	0.599	0.351	0.200	0.404	0.627	D#
172.01	0.913	0.737	0.641	1.000	0.938	0.431	0.547	0.594	0.349	0.202	0.391	0.623	D#
172.02	0.915	0.733	0.639	0.993	1.000	0.447	0.541	0.587	0.347	0.203	0.378	0.617	E
172.03	0.861	0.683	0.597	0.923	1.000	0.431	0.505	0.545	0.324	0.191	0.344	0.576	E
172.04	0.813	0.637	0.556	0.858	1.000	0.414	0.474	0.510	0.304	0.180	0.315	0.544	E
172.05	0.770	0.595	0.518	0.798	1.000	0.398	0.449	0.480	0.287	0.170	0.291	0.521	E
172.06	0.734	0.559	0.485	0.745	1.000	0.382	0.429	0.456	0.273	0.163	0.271	0.506	E
172.07	0.703	0.526	0.453	0.696	1.000	0.369	0.412	0.439	0.261	0.156	0.254	0.496	E
172.09	0.676	0.496	0.424	0.650	1.000	0.358	0.399	0.426	0.252	0.152	0.240	0.491	E
172.10	0.650	0.466	0.396	0.607	1.000	0.347	0.387	0.413	0.245	0.147	0.229	0.488	E
173.00	0.843	0.981	0.735	1.000	0.886	0.858	0.599	0.973	0.577	0.309	0.432	0.574	D#
173.01	0.867	0.995	0.736	0.985	0.799	0.852	0.601	1.000	0.580	0.304	0.439	0.579	G
173.02	0.863	0.984	0.717	0.946	0.702	0.823	0.590	1.000	0.570	0.293	0.433	0.569	G
173.03	0.859	0.973	0.698	0.907	0.620	0.796	0.584	1.000	0.563	0.287	0.427	0.559	G
173.05	0.854	0.961	0.677	0.870	0.552	0.770	0.581	1.000	0.556	0.284	0.419	0.550	G
173.06	0.848	0.947	0.655	0.835	0.503	0.746	0.582	1.000	0.550	0.282	0.411	0.545	G
173.07	0.842	0.934	0.636	0.801	0.466	0.723	0.586	1.000	0.546	0.280	0.401	0.543	G
173.08	0.839	0.920	0.619	0.769	0.436	0.703	0.591	1.000	0.562	0.278	0.390	0.543	G
173.09	0.838	0.904	0.601	0.738	0.414	0.684	0.597	1.000	0.580	0.276	0.383	0.547	G
173.10	0.836	0.888	0.583	0.711	0.398	0.667	0.605	1.000	0.597	0.274	0.379	0.550	G
174.01	1.000	0.685	0.542	0.398	0.412	0.371	0.392	0.443	0.138	0.231	0.288	0.389	C
174.02	1.000	0.670	0.514	0.379	0.400	0.367	0.387	0.435	0.133	0.224	0.285	0.400	C
174.03	1.000	0.654	0.488	0.362	0.386	0.363	0.383	0.427	0.128	0.217	0.281	0.410	C
174.04	1.000	0.629	0.460	0.344	0.372	0.356	0.377	0.415	0.121	0.210	0.273	0.414	C
